1720710020,StartEvent,208306309511530375
1720710020,GraphDifficEvent,208306309511530375
1720710020,GraphDifficEvent,208306309511530375
1720710020,DDAGraphActEvent,208306309511530375
1720710020,LevelDifficultyEvent,208306309511530375,HARD
1720710022,StartLevelEvent,208306309511530375,1,"Level4"
1720710125,LostHealthEvent,208306309511530375,"4"
1720710125,LevelCompletedEvent,208306309511530375
1720710125,EndLevelEvent,208306309511530375,1,"Level4"
1720710126,StartLevelEvent,208306309511530375,2,"Level5"
1720710253,LostHealthEvent,208306309511530375,"5"
1720710253,LevelCompletedEvent,208306309511530375
1720710253,EndLevelEvent,208306309511530375,2,"Level5"
1720710254,StartLevelEvent,208306309511530375,3,"Level1"
1720710376,LostHealthEvent,208306309511530375,"2"
1720710376,LevelCompletedEvent,208306309511530375
1720710376,EndLevelEvent,208306309511530375,3,"Level1"
1720710377,StartLevelEvent,208306309511530375,4,"Level2"
1720710463,LostHealthEvent,208306309511530375,"0"
1720710463,LevelCompletedEvent,208306309511530375
1720710463,EndLevelEvent,208306309511530375,4,"Level2"
1720710464,StartLevelEvent,208306309511530375,5,"Level3"
1720710547,LostHealthEvent,208306309511530375,"1"
1720710547,LevelCompletedEvent,208306309511530375
1720710547,EndLevelEvent,208306309511530375,5,"Level3"
1720710548,StartLevelEvent,208306309511530375,6,"Level4"
1720710662,LostHealthEvent,208306309511530375,"5"
1720710662,LevelCompletedEvent,208306309511530375
1720710662,EndLevelEvent,208306309511530375,6,"Level4"
1720710663,StartLevelEvent,208306309511530375,7,"Level1"
1720710815,LostHealthEvent,208306309511530375,"8"
1720710815,LevelCompletedEvent,208306309511530375
1720710815,EndLevelEvent,208306309511530375,7,"Level1"
1720710816,StartLevelEvent,208306309511530375,8,"Level2"
1720710914,LostHealthEvent,208306309511530375,"2"
1720710914,LevelCompletedEvent,208306309511530375
1720710914,EndLevelEvent,208306309511530375,8,"Level2"
1720710915,StartLevelEvent,208306309511530375,9,"Level5"
1720711011,LostHealthEvent,208306309511530375,"1"
1720711011,LevelCompletedEvent,208306309511530375
1720711011,EndLevelEvent,208306309511530375,9,"Level5"
1720711012,StartLevelEvent,208306309511530375,10,"Level4"
1720711101,LostHealthEvent,208306309511530375,"5"
1720711101,LevelCompletedEvent,208306309511530375
1720711101,EndLevelEvent,208306309511530375,10,"Level4"
1720711102,StartLevelEvent,208306309511530375,11,"Level3"
1720711198,LostHealthEvent,208306309511530375,"7"
1720711198,LevelCompletedEvent,208306309511530375
1720711198,EndLevelEvent,208306309511530375,11,"Level3"
1720711199,StartLevelEvent,208306309511530375,12,"Level1"
1720711356,PlayerDeathEvent,208306309511530375,"-2,04102","-9,244385"
1720711357,EndLevelEvent,208306309511530375,12,"Level1"
1720711362,EndEvent,208306309511530375
